,dt_duration_seconds,dt_end,dt_start,fit_batch_size,fit_num_classes,fit_num_epochs,fit_stopped_early,fit_stopper_patience,fit_test_acc,fit_train_acc,fit_train_loss,fit_val_acc,fit_val_loss,id,model_architecture,model_dropout,model_layer_1_sizefactor,model_layer_2_sizefactor,model_layer_3_sizefactor,model_num_features,model_sequence_length,param_count,pretrained_model_name,pretrained_model_pooling,shape_x_test,shape_y_train
113,82,2018-12-16 18:01:26,2018-12-16 18:00:04,32,2,5,True,5,0.8896321070234113,0.8789678476468574,0.3016462356932408,0.9174272056146063,0.28218707694845685,201,MLP,0.2,4,2,0,1536,3,4131842,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
65,156,2018-12-17 08:21:06,2018-12-17 08:18:30,32,2,17,True,10,0.8361204013377926,0.8554167519845167,0.3513136407573668,0.9174272056146063,0.3723757000189147,384,LSTM,0.5,8,8,8,1536,3,1402370,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
3,54,2018-12-16 16:25:43,2018-12-16 16:24:49,32,2,4,True,5,0.8795986622073578,0.8579766536842915,0.33393950169261744,0.9174272055627988,0.30251821132133133,131,MLP,0.2,1,0,2,1536,3,3541250,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
157,49,2018-12-16 16:29:55,2018-12-16 16:29:05,32,2,3,True,5,0.9364548494983278,0.8511161171411018,0.33778389617068316,0.9174272053814722,0.3034586112611142,135,MLP,0.2,1,0,8,1536,3,3541250,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
104,243,2018-12-17 00:34:39,2018-12-17 00:30:35,32,2,11,True,10,0.8294314381270903,0.8557239402006963,0.34148518782022813,0.9174272053296646,0.26676736244918053,290,LSTM,0.5,2,0,0,1536,3,7082498,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
212,294,2018-12-16 23:37:15,2018-12-16 23:32:21,32,2,3,True,10,0.9130434782608696,0.8424124513618677,0.37148790385252917,0.9169926119596737,0.3505142893753897,283,LSTM,0.2,1,8,2,1536,3,19325378,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
236,93,2018-12-16 18:40:29,2018-12-16 18:38:55,32,2,5,True,5,0.8394648829431438,0.8603317632602908,0.34099269924125003,0.9169926119078662,0.30216787511993626,224,MLP,0.5,4,8,8,1536,3,3724802,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
143,38,2018-12-16 15:22:58,2018-12-16 15:22:19,32,2,5,True,5,0.9141914191419142,0.881576274592969,0.2991477225052252,0.9168471200169811,0.2885595586404185,54,MLP,0.5,2,4,4,1536,1,1624322,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
123,39,2018-12-16 15:06:49,2018-12-16 15:06:10,32,2,8,True,5,0.8481848184818481,0.8965061954698402,0.26864412463876064,0.916847119991167,0.24989520725154835,27,MLP,0.2,1,8,2,1536,1,1477826,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
141,30,2018-12-16 15:13:18,2018-12-16 15:12:48,32,2,6,True,5,0.9372937293729373,0.8780215315501089,0.29687965639645364,0.916847119965353,0.2796808913279117,39,MLP,0.2,2,0,8,1536,1,1181954,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
111,78,2018-12-16 17:15:29,2018-12-16 17:14:11,32,2,4,True,5,0.919732441471572,0.868421052631579,0.3193152427510077,0.9165580185896829,0.25848494766070396,171,MLP,0.2,2,2,2,1536,3,4722434,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
110,45,2018-12-16 16:15:35,2018-12-16 16:14:49,32,2,4,True,5,0.9207920792079208,0.8780215316106458,0.3013132543019495,0.9164140320743199,0.2793232711324861,121,MLP,0.2,8,8,0,1536,1,1328450,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
164,55,2018-12-16 16:02:56,2018-12-16 16:02:01,32,2,6,True,5,0.9207920792079208,0.8863497867759543,0.28749230333321857,0.9164140320485058,0.2897485871886009,108,MLP,0.5,8,2,2,1536,1,2363138,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
107,93,2018-12-16 18:06:24,2018-12-16 18:04:50,32,2,6,True,5,0.8662207357859532,0.8951464263772271,0.2740299479531236,0.9161234246498084,0.2794906573417859,204,MLP,0.5,4,2,2,1536,3,4722434,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
294,412,2018-12-16 22:27:48,2018-12-16 22:20:55,32,2,11,True,10,0.782608695652174,0.8554167519845167,0.34609057651590475,0.9161234245980009,0.36325779396624525,274,LSTM,0.5,1,4,0,1536,3,19471490,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
